reservation_status_date,COUNT(reservation_status_date)
2017-02-10,103
2017-02-11,37
2017-02-12,53
2017-02-13,82
2017-02-14,55
2017-02-15,106
2017-02-16,64
2017-02-17,74
2017-02-18,37
2017-02-19,49
2017-02-20,54
2017-02-21,93
2017-02-22,56
2017-02-23,67
2017-02-24,62
2017-02-25,69
2017-02-26,34
2017-02-27,43
2017-02-28,88
2017-03-01,63
2017-03-02,66
2017-03-03,51
2017-03-04,34
2017-03-05,36
2017-03-06,85
2017-03-07,81
2017-03-08,65
2017-03-09,50
2017-03-10,74
2017-03-11,25
2017-03-12,43
2017-03-13,55
2017-03-14,47
2017-03-15,48
2017-03-16,49
2017-03-17,43
2017-03-18,26
2017-03-19,40
2017-03-20,71
2017-03-21,78
2017-03-22,48
2017-03-23,45
2017-03-24,48
2017-03-25,45
2017-03-26,30
2017-03-27,71
2017-03-28,68
2017-03-29,35
2017-03-30,41
2017-03-31,49
2017-04-01,41
2017-04-02,34
2017-04-03,78
2017-04-04,65
2017-04-05,82
2017-04-06,70
2017-04-07,49
2017-04-08,29
2017-04-09,31
2017-04-10,64
2017-04-11,37
2017-04-12,31
2017-04-13,35
2017-04-14,8
2017-04-15,17
2017-04-16,24
2017-04-17,47
2017-04-18,43
2017-04-19,34
2017-04-20,47
2017-04-21,153
2017-04-22,68
2017-04-23,42
2017-04-24,62
2017-04-25,73
2017-04-26,59
2017-04-27,37
2017-04-28,33
2017-04-29,24
2017-04-30,35
2017-05-01,20
2017-05-02,47
2017-05-03,79
2017-05-04,53
2017-05-05,161
2017-05-06,39
2017-05-07,29
2017-05-08,49
2017-05-09,52
2017-05-10,65
2017-05-11,41
2017-05-12,72
2017-05-13,32
2017-05-14,39
2017-05-15,38
2017-05-16,70
2017-05-17,57
2017-05-18,36
2017-05-19,40
2017-05-20,23
2017-05-21,29
2017-05-22,71
2017-05-23,34
2017-05-24,28
2017-05-25,31
2017-05-26,25
2017-05-27,23
2017-05-28,46
2017-05-29,40
2017-05-30,33
2017-05-31,31
2017-06-01,19
2017-06-02,38
2017-06-03,18
2017-06-04,16
2017-06-05,40
2017-06-06,74
2017-06-07,34
2017-06-08,31
2017-06-09,28
2017-06-10,17
2017-06-11,16
2017-06-12,43
2017-06-13,25
2017-06-14,18
2017-06-15,19
2017-06-16,20
2017-06-17,12
2017-06-18,17
2017-06-19,21
2017-06-20,23
2017-06-21,28
2017-06-22,29
2017-06-23,30
2017-06-24,19
2017-06-25,4
2017-06-26,37
2017-06-27,41
2017-06-28,61
2017-06-29,29
2017-06-30,55
2017-07-01,9
2017-07-02,13
2017-07-03,32
2017-07-04,83
2017-07-05,20
2017-07-06,28
2017-07-07,31
2017-07-08,9
2017-07-09,22
2017-07-10,22
2017-07-11,41
2017-07-12,36
2017-07-13,30
2017-07-14,31
2017-07-15,19
2017-07-16,12
2017-07-17,23
2017-07-18,32
2017-07-19,21
2017-07-20,14
2017-07-21,13
2017-07-22,12
2017-07-23,17
2017-07-24,19
2017-07-25,14
2017-07-26,18
2017-07-27,16
2017-07-28,23
2017-07-29,18
2017-07-30,10
2017-07-31,14
2017-08-01,23
2017-08-02,18
2017-08-03,16
2017-08-04,34
2017-08-05,18
2017-08-06,9
2017-08-07,17
2017-08-08,6
2017-08-09,17
2017-08-10,36
2017-08-11,7
2017-08-12,5
2017-08-13,6
2017-08-14,15
2017-08-15,9
2017-08-16,15
2017-08-17,16
2017-08-18,6
2017-08-19,6
2017-08-20,4
2017-08-21,5
2017-08-22,4
2017-08-23,3
2017-08-24,6
2017-08-25,2
2017-08-26,6
2017-08-27,3
2017-08-28,3
2017-08-29,3
2017-08-31,2
